UNITUPI,NAMAUNITUPI,UNITAP,NAMAUNITAP,UNITUP,NAMAUNITUP,KD_PROV,NAMA_PROV,KD_KAB,NAMA_KAB,KD_KEC,NAMA_KEC,KD_DESA,NAMA_DESA,STATUS_DAERAH_3T,x
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022010,SENI ANTARA,TIDAK,"4.866672119274742, 96.88994716052724"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022011,TEMAS MUMANANG,TIDAK,"4.819587175560347, 96.97943977279405"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022012,WIH TENANG TOA,TIDAK,"4.805058122800892, 96.96628884165683"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022013,WEH TENANG UKEN,TIDAK,"4.814669926349535, 96.92722504097331"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022014,AYU ARA,TIDAK,"4.775115719157425, 96.95723449251477"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022015,CEDING AYU,TIDAK,"4.806678599218894, 96.92743346251325"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022016,UNING SEJUK,TIDAK,"4.8179954320589555, 96.96255463728806"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022017,SUKU SARA TANGKE,TIDAK,"4.815621673526555, 96.97634075889272"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022018,RIKIT MUSARA,TIDAK,"4.867716910191755, 96.87520379529937"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022019,JUNGKE,TIDAK,"4.793232299843562, 96.93462412375135"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022020,BURNI PASE,TIDAK,"4.835295712962629, 96.91486589587873"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022021,BALE MUSARA,TIDAK,"4.803864517763545, 96.91831418770214"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022022,PEMANGO,TIDAK,"4.815838126188875, 96.9518424492913"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022023,JELOBOK,TIDAK,"4.8241636260398275, 96.95560796538614"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022024,KEPIES,TIDAK,"4.824380796005521, 96.89754076471496"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022025,TIMUR JAYA,TIDAK,"4.805964782315146, 96.99320377568635"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022026,BALE PURNAMA,TIDAK,"4.819126715443026, 96.89574655866114"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022027,TAWAR BENGI,TIDAK,"4.812576338325093, 96.96473748240744"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111703,SYIAH UTAMA,1117032001,BLANG PANU,TIDAK,"4.729098240354422, 97.2177323986626"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111703,SYIAH UTAMA,1117032003,GERPA,TIDAK,"4.685709640500794, 97.23796259572009"
