UNIT UP,NOMOR GARDU,NAMA GARDU,ALAMAT,LATITUDE,LONGITUDE,KAPASITAS TRAFO (kVA),FEEDER,Pemakaian (%),I rata-rata (A),Unbalanced (%),Update
11229 - TAKENGON,GD112290608,LNG025-00,PAYA JAMI,4.438364,96.866325,50,GY 09 (Isq),"1,486,638,453","1,066,666,667","1,083,333,333",0
11229 - TAKENGON,GD112290609,LNG026-00,TVRI ISAQ,4.475245,96.860262,50,GY 09 (Isq),"2,574,227,026","1,836,666,667","1,004,234,725",0
11229 - TAKENGON,GD112290320,LNG027-00,DESA OWAQ,4.405935,97.115625,50,GY 09 (Owq),"2,619,969,334","1,933,333,333","6,666,666,667",0
11229 - TAKENGON,GD112290330,LNG028-00,DESA LINGE,4.392858,97.198714,25,GY 09 (Owq),"1,781,471,991","1,933,333,333","6,666,666,667",0
11229 - TAKENGON,GD112290327,LNG029-00,DESA LUMUT,4.335684,97.14227,25,GY 09 (Owq),"1,318,833,368","51,3","2,703,053,931",0
11229 - TAKENGON,GD112290326,LNG030-00,DESA LANE,4.355345,97.134616,25,GY 09 (Owq),"0,09084414","0,033333333","1,333,333,333",0
11229 - TAKENGON,GD112290332,LNG031-00,DESA JAMAT,4.415078,97.251688,16,GY 09 (Owq),"1,820,075,073","7,566,666,667","6,666,666,667",0
11229 - TAKENGON,GD112290335,LNG032-00,DESA DELUNG SEKINEL,4.407557,97.252966,50,GY 09 (Owq),"7,655,664,569","5,666,666,667","8,745,098,039",0
11229 - TAKENGON,GD112290331,LNG033-00,DESA PAYONG ,4.423757,97.248632,50,GY 09 (Owq),"1,637,149,819","2,133,333,333","6,458,333,333",0
11229 - TAKENGON,GD112290319,LNG034-00,DESA PENARUN,4.456941,97.08112,25,GY 09 (Isq),"3,756,481,029","13,51","553,170,491",0
11229 - TAKENGON,GD112290333,LNG035-00,DESA PERTIK,4.397491,97.253721,25,GY 09 (Owq),"2,224,107,197","8,266,666,667","1,268,817,204",0
11229 - TAKENGON,GD112290329,LNG036-00,DESA KALALI,4.400757,97.148917,50,GY 09 (Owq),"1,774,613,069","1,3","8,205,128,205",0
11229 - TAKENGON,GD112290323,LNG037-00,KOMPI 114 OWAQ,4.368968,97.122782,50,GY 09 (Owq),"1,015,011,411","8,566,666,667","6,199,740,597",0
11229 - TAKENGON,GD112290321,LNG038-00,KETAPANG 2,4.385173,97.126964,50,GY 09 (Owq),"0,393521943","0,3","1,333,333,333",0
11229 - TAKENGON,GD112290325,LNG039-00,KETAPANG 2.2,4.357626,97.130402,25,GY 09 (Owq),"2,699,020,132","1,086,666,667","6,830,265,849",0
11229 - TAKENGON,GD112290322,LNG040-00,KETAPANG KOMPI,4.383096,97.121671,50,GY 09 (Owq),"5,766,343,549","4,2","4,603,174,603",0
11229 - TAKENGON,GD112290336,LNG041-00,KETAPANG 5,4.391948,97.127868,50,GY 09 (Owq),"0,72059472","0,533333333","1,666,666,667",0
11229 - TAKENGON,GD112290328,LNG042-00,TELKOMSEL OWAQ,4.392581,97.122811,25,GY 09 (Owq),"3,853,050,944","1,343,333,333","435,070,306",0
